term,definition,tier,example
Abate,To become less intense or widespread,Tier 1,The storm began to abate after midnight.
Bolster,To support or strengthen,Tier 1,Extra evidence can bolster an argument.
Candid,Truthful and straightforward,Tier 1,Her candid response made the discussion easier.
Implicit,Suggested or understood without being directly stated,Tier 2,The author's implicit criticism appears in the final paragraph.
Explicit,Stated clearly and directly,Tier 2,The rubric gives explicit instructions for each response.
Deference,Respectful submission to another person's judgment,Tier 2,The staff listened in deference to the expert.
Ephemeral,Lasting for a very short time,Tier 2,The app's popularity proved ephemeral.
Fastidious,Very attentive to detail and accuracy,Tier 2,A fastidious editor catches tiny mistakes.
Garrulous,Excessively talkative especially on trivial matters,Tier 3,The garrulous host barely paused for breath.
Mitigate,To make something less severe or harmful,Tier 3,Shade trees can mitigate heat in cities.
Exacerbate,"To make a problem, bad situation, or negative feeling worse",Tier 3,Ignoring the leak will exacerbate the damage.
